created_at,sentiment,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy,emotional_words
2021-01-21 16:10:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-21 16:09:46,0.1901,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,inauguration
2021-01-21 16:08:39,0.8881,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.2,"happy,finally"
2021-01-21 16:08:07,0.4939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,degree
2021-01-21 16:07:16,-0.2263,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,"inauguration,time"
2021-01-21 05:57:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-21 05:56:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-21 05:56:05,0.9475,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,"happy,forward,wonderful"
2021-01-21 05:43:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-21 05:42:03,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-21 05:39:54,-0.2023,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,president
2021-01-20 17:00:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 16:19:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 12:16:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 12:16:19,0.6597,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,swamp
2021-01-20 12:10:07,0.3182,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.2,"full,pardon,notable"
2021-01-20 02:50:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 02:48:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 02:36:05,-0.2732,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,"prospect,failure"
2021-01-20 02:26:25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,jump
